file,duration,sample_rate,rms,peak,clipping_ratio,speech_ratio,silence_ratio,snr_estimate_db,decay_slope_db_per_s,spectral_centroid_hz,rolloff85_hz,tier
asr_final_20260807_005934_267.wav,3.216,16000,0.204201,0.9686,0.0,0.5719,0.4281,78.99,-612.3,447.4,590.2,likely_quiet
asr_final_20260807_010006_029.wav,3.216,16000,0.181084,0.9685,0.0,0.425,0.575,79.64,-368.1,555.4,777.4,likely_quiet
asr_final_20260807_010039_084.wav,2.96,16000,0.165722,0.9558,0.0,0.4898,0.5102,75.1,-676.1,449.1,545.6,likely_quiet
asr_final_20260807_010122_701.wav,2.96,16000,0.209633,0.9752,0.0,0.7075,0.2925,79.87,-241.9,559.3,770.3,likely_quiet
asr_final_20260807_013215_715.wav,2.96,16000,0.258315,0.9999,0.00019,0.8639,0.1361,50.53,630.4,631.6,797.0,likely_quiet
asr_final_20260807_013230_587.wav,2.96,16000,0.141445,0.7162,0.0,0.7075,0.2925,68.03,-604.0,568.9,778.4,likely_quiet
asr_final_20260807_013357_098.wav,2.96,16000,0.131227,0.7697,0.0,0.6531,0.3469,71.68,-335.4,642.6,799.7,likely_quiet
asr_final_20260807_013623_772.wav,2.96,16000,0.169271,0.7009,0.0,0.7789,0.2211,24.51,284.0,411.0,541.6,likely_quiet
asr_final_20260807_013656_919.wav,2.96,16000,0.170223,0.7892,0.0,0.8299,0.1701,62.05,-479.5,540.3,826.4,likely_quiet
asr_final_20260807_013723_241.wav,2.96,16000,0.113728,0.7473,0.0,0.6156,0.3844,76.51,-204.5,479.6,746.3,likely_quiet
asr_final_20260807_013756_493.wav,2.96,16000,0.123704,0.778,0.0,0.6565,0.3435,66.89,-188.5,531.6,787.5,likely_quiet
asr_final_20260807_013821_896.wav,2.96,16000,0.117033,0.7534,0.0,0.5986,0.4014,65.42,-573.7,501.8,735.8,likely_quiet
asr_final_20260807_060903_720.wav,1.28,16000,0.150534,1.0,4.9e-05,0.4524,0.5476,76.18,-30.4,758.0,870.3,likely_quiet
asr_final_20260807_060920_369.wav,3.216,16000,0.142367,0.8066,0.0,0.8094,0.1906,48.96,0.6,847.6,1458.0,likely_quiet
asr_final_20260807_061354_946.wav,1.792,16000,0.101034,0.7103,0.0,0.7288,0.2712,25.75,84.0,787.7,980.5,likely_quiet
asr_final_20260807_061404_935.wav,2.56,16000,0.168551,0.7853,0.0,0.7205,0.2795,18.85,1.4,758.9,884.8,likely_farfield_or_muffled
asr_final_20260807_061425_444.wav,5.264,16000,0.107478,0.681,0.0,0.5,0.5,69.86,-239.3,828.7,1217.7,likely_quiet
asr_final_20260807_064935_693.wav,7.168,16000,0.133551,0.9544,0.0,0.4364,0.5636,76.33,-447.7,814.2,1028.0,likely_quiet
asr_final_20260807_065040_667.wav,5.52,16000,0.161541,0.7942,0.0,0.7691,0.2309,70.87,213.1,687.9,938.0,likely_quiet
asr_final_20260807_065056_289.wav,2.96,16000,0.101807,0.6357,0.0,0.5034,0.4966,26.1,-61.8,825.5,1195.3,likely_quiet
